1.12E-17	1.62E-17
2.30E-17	1.85E-17
1.52E-17	1.40E-17
1.94E-17	1.35E-17
2.17E-17	8.83E-18
1.98E-17	5.68E-18
1.40E-17	5.80E-17
7.19E-18	8.70E-18
1.02E-17	
5.95E-18	4.58E-18
3.62E-18	4.82E-18
1.18E-17	9.09E-18
9.91E-17	2.96E-17
5.31E-17	2.04E-17
6.65E-18	1.29E-17
1.02E-17	4.84E-18
1.31E-16	3.45E-17
2.64E-18	4.65E-18
1.07E-17	1.21E-17
7.03E-17	2.54E-17
3.91E-18	4.47E-18
6.11E-18	8.81E-18
2.86E-18	1.42E-17
4.69E-17	2.43E-17
3.11E-17	1.13E-17
4.49E-17	1.67E-17
7.17E-18	1.68E-17
5.66E-17	
1.70E-17	9.15E-18
1.16E-17	1.18E-17
3.41E-17	
9.75E-17	3.97E-17
4.23E-17	1.65E-17
3.28E-17	1.27E-17
4.78E-17	2.01E-17
5.33E-18	8.36E-18
7.11E-17	1.98E-17
3.96E-17	1.41E-17
7.56E-17	3.48E-17
4.79E-17	1.51E-17
1.93E-17	8.49E-18
3.49E-17	1.28E-17
7.79E-17	1.96E-17
2.02E-17	8.74E-18
2.31E-17	8.68E-18
6.12E-18	
1.51E-17	8.53E-18
9.52E-18	4.31E-18
1.78E-17	8.69E-18
7.64E-18	1.82E-17
6.54E-18	7.60E-18
7.27E-18	7.95E-18
2.29E-17	1.26E-17
1.02E-16	
6.31E-18	2.04E-17
2.38E-16	
5.77E-18	4.65E-18
8.65E-18	
3.41E-18	7.99E-18
7.50E-17	2.43E-17
2.89E-17	
6.02E-18	4.21E-18
1.45E-16	
3.42E-17	1.24E-17
3.66E-17	1.60E-17
8.37E-18	4.23E-18
4.11E-17	1.58E-17
1.44E-17	2.08E-17
2.61E-17	1.64E-17
8.09E-18	1.30E-17
