2.23E-17	1.02E-17
2.41E-17	1.15E-17
1.82E-17	6.70E-18
1.91E-17	7.28E-18
1.37E-17	2.37E-18
6.58E-18	2.61E-18
6.32E-17	5.14E-17
1.09E-17	4.89E-18
7.45E-18	
5.93E-18	2.42E-18
5.75E-18	2.95E-18
1.08E-17	6.05E-18
4.09E-17	9.75E-18
2.78E-17	5.15E-18
1.62E-17	7.60E-18
5.45E-18	3.02E-18
4.67E-17	4.40E-18
5.43E-18	3.38E-18
2.63E-17	1.92E-18
3.19E-17	1.08E-17
5.25E-18	3.28E-18
1.10E-17	4.21E-18
2.30E-17	1.72E-17
3.31E-17	9.64E-18
1.44E-17	3.52E-19
2.44E-17	4.14E-18
2.07E-17	1.00E-17
2.63E-17	
1.18E-17	3.87E-18
1.69E-17	3.92E-18
1.05E-17	
5.08E-17	1.77E-17
2.22E-17	4.38E-18
1.79E-17	3.54E-18
2.64E-17	6.72E-18
1.19E-17	1.68E-18
2.75E-17	2.78E-18
1.74E-17	6.26E-18
3.79E-17	2.19E-17
1.92E-17	4.60E-18
1.17E-17	2.29E-18
1.89E-17	1.88E-18
2.77E-17	2.29E-18
1.27E-17	2.55E-18
1.30E-17	1.87E-18
1.24E-17	
1.02E-17	4.39E-18
6.19E-18	1.42E-18
1.25E-17	2.98E-18
2.38E-17	1.10E-17
1.13E-17	1.12E-18
1.03E-17	4.20E-18
1.70E-17	3.94E-18
3.77E-17	
2.79E-17	9.54E-18
6.96E-17	
6.22E-18	2.49E-18
5.89E-18	
1.08E-17	2.47E-18
3.33E-17	6.39E-18
1.23E-17	
7.78E-18	1.39E-18
4.71E-17	
1.76E-17	1.57E-18
2.25E-17	1.33E-18
7.01E-18	5.45E-20
2.12E-17	2.02E-18
2.96E-17	4.77E-18
2.10E-17	7.41E-18
1.76E-17	3.19E-18
